Lat,Lng,CDD30,HDD30
39.4317,-120.2406,7.0,8589.0
38.5067,-122.4714,848.0,2544.0
36.6594,-121.6656,87.0,2900.0
38.5006,-120.2189,1076.0,3623.0
34.1344,-117.2539,1989.0,1420.0
32.7672,-117.2258,379.0,1633.0
37.7281,-122.5053,19.0,3564.0
34.1061,-118.1,1399.0,1290.0
37.3117,-122.3617,18.0,3915.0
33.7869,-116.9583,1742.0,1950.0
37.3592,-121.9239,636.0,2257.0
33.5319,-117.5525,1201.0,1665.0
37.0533,-121.0578,1593.0,2366.0
35.3039,-120.665,293.0,2488.0
33.0956,-116.9975,1302.0,1406.0
37.9983,-122.5372,395.0,2803.0
33.7442,-117.8667,1217.0,1004.0
34.4167,-119.6844,407.0,1614.0
36.9906,-121.9911,170.0,2417.0
34.0075,-118.4997,303.0,1548.0
34.3119,-119.1331,531.0,1701.0
38.4381,-122.6978,459.0,2567.0
41.3011,-123.1331,804.0,4410.0
40.4831,-124.1036,72.0,3217.0
40.7142,-122.4161,1883.0,2794.0
40.0331,-124.0728,116.0,3332.0
35.9717,-116.2708,3370.0,1680.0
39.5678,-120.6228,454.0,5245.0
39.5833,-120.3706,137.0,6682.0
37.3133,-122.185,570.0,4075.0
38.2994,-122.4622,578.0,2821.0
37.9672,-120.3872,873.0,3719.0
37.5072,-119.6331,150.0,6251.0
39.8778,-123.7275,375.0,3948.0
37.9994,-121.3178,1389.0,2389.0
39.5858,-122.5339,1313.0,3276.0
39.5631,-121.1078,324.0,5111.0
33.7156,-117.19,1770.0,1927.0
40.4167,-120.6631,490.0,5822.0
38.3772,-120.8008,1331.0,3004.0
35.1503,-119.43,1916.0,2233.0
39.1678,-120.1428,25.0,7858.0
35.1333,-118.45,670.0,4296.0
35.1011,-118.4222,675.0,4203.0
40.8667,-120.4333,137.0,7564.0
34.1819,-118.8986,856.0,1702.0
36.465,-118.8619,1687.0,2769.0
38.4461,-120.4992,867.0,3836.0
37.6819,-121.3467,1145.0,2602.0
37.7967,-121.5828,1498.0,2280.0
40.7264,-122.7947,673.0,4356.0
35.7636,-117.3908,3193.0,2166.0
39.3331,-120.173,47.0,7941.0
41.96,-121.4744,168.0,6683.0
37.5006,-120.855,1558.0,2375.0
33.7025,-117.7539,910.0,1674.0
34.1281,-116.0369,3219.0,1706.0
34.1206,-115.85,3594.0,1571.0
38.7086,-120.0403,7.0,8800.0
34.9881,-120.3211,321.0,2600.0
39.1467,-123.2103,835.0,3040.0
34.0697,-118.4428,792.0,1228.0
38.3956,-121.9608,1523.0,2298.0
34.535,-117.3058,1824.0,2761.0
39.8056,-120.1858,61.0,7154.0
36.3283,-119.2992,1769.0,2386.0
33.2294,-117.2269,834.0,1522.0
38.7161,-122.9975,646.0,2801.0
35.5892,-119.3519,2042.0,2335.0
36.9308,-121.7692,123.0,2918.0
40.7222,-122.9331,722.0,4445.0
40.6117,-122.5281,1820.0,2892.0
36.2656,-117.1853,1590.0,3526.0
39.4194,-123.3425,154.0,4762.0
40.9467,-123.6364,838.0,3548.0
39.5231,-122.3058,1547.0,2428.0
38.5228,-121.9683,1735.0,2262.0
