GEOID,Population
05000US22005,5871
05000US22007,1698
05000US22009,3716
05000US22011,4847
05000US22013,1901
05000US22015,7372
05000US22017,17372
05000US22019,13217
05000US22021,995
05000US22023,552
05000US22025,1154
05000US22027,1810
05000US22029,1852
05000US22031,2713
05000US22033,26866
05000US22035,743
05000US22037,2232
05000US22039,2912
05000US22041,2116
05000US22043,2312
05000US22045,4711
05000US22047,3299
05000US22049,1831
05000US22051,31775
05000US22053,2648
05000US22055,13128
05000US22057,7475
05000US22059,1453
05000US22061,3925
05000US22063,7048
05000US22065,1489
05000US22067,2273
05000US22069,5151
05000US22071,34208
05000US22073,11549
05000US22075,1588
05000US22077,2025
05000US22079,9818
05000US22081,1013
05000US22083,2032
05000US22085,3536
05000US22087,3840
05000US22089,3713
05000US22091,791
05000US22093,1862
05000US22095,2876
05000US22097,6843
05000US22099,3319
05000US22101,4848
05000US22103,15146
05000US22105,7253
05000US22107,687
05000US22109,6544
05000US22111,2026
05000US22113,4195
05000US22115,8491
05000US22117,3288
05000US22119,3807
05000US22121,1681
05000US22123,1514
05000US22125,1502
05000US22127,1620
05000US23001,9479
05000US23003,13526
05000US23005,23517
05000US23007,4534
05000US23009,8737
05000US23011,11999
05000US23013,5184
05000US23015,4991
05000US23017,8533
05000US23019,18659
05000US23021,3419
05000US23023,3682
05000US23025,6957
05000US23027,7246
05000US23029,8590
05000US23031,15708
05000US24001,7718
05000US24003,36992
05000US24005,63190
05000US24009,6586
05000US24011,3626
05000US24013,14189
05000US24015,7190
05000US24017,10787
05000US24019,3417
05000US24021,19958
05000US24023,3577
05000US24025,18416
05000US24027,20489
05000US24029,2137
05000US24031,77697
05000US24033,66628
05000US24035,4196
05000US24037,7088
05000US24039,2703
05000US24041,3627
05000US24043,12606
05000US24045,7297
05000US24047,3885
05000US24510,46164
05000US25001,16145
05000US25003,14250
05000US25005,40678
05000US25007,1181
05000US25009,56217
05000US25011,10620
05000US25013,35245
05000US25015,14954
05000US25017,116708
05000US25019,1059
05000US25021,50477
05000US25023,36520
05000US25025,54779
05000US25027,61614
05000US26001,3213
05000US26003,1974
05000US26005,12725
05000US26007,4442
05000US26009,5181
05000US26011,4496
05000US26013,2049
05000US26015,6799
05000US26017,10631
05000US26019,3791
05000US26021,18065
05000US26023,7583
05000US26025,15518
05000US26027,6417
05000US26029,5564
05000US26031,5351
05000US26033,6793
05000US26035,5616
05000US26037,9831
05000US26039,2330
05000US26041,5549
05000US26043,3158
05000US26045,12295
05000US26047,6114
05000US26049,35500
05000US26051,5703
05000US26053,2898
05000US26055,7542
05000US26057,8306
05000US26059,9145
05000US26061,6257
05000US26063,9275
05000US26065,26515
05000US26067,9589
05000US26069,4626
05000US26071,2798
05000US26073,11387
05000US26075,15699
05000US26077,22541
05000US26079,3666
05000US26081,48225
05000US26083,653
05000US26085,2984
05000US26087,10656
05000US26089,4027
05000US26091,13499
05000US26093,19265
05000US26095,1464
05000US26097,2508
05000US26099,69274
05000US26101,5489
05000US26103,9468
05000US26105,5691
05000US26107,7139
05000US26109,5143
05000US26111,10164
05000US26113,4353
05000US26115,14577
05000US26117,9910
05000US26119,2001
05000US26121,17916
05000US26123,9462
05000US26125,109258
05000US26127,6242
05000US26129,4818
05000US26131,2004
05000US26133,6233
05000US26135,1762
05000US26137,3496
05000US26139,21925
05000US26141,4139
05000US26143,3429
05000US26145,21598
05000US26147,17634
05000US26149,8656
05000US26151,10101
05000US26153,1830
05000US26155,9523
05000US26157,9902
05000US26159,9487
05000US26161,33094
05000US26163,147892
05000US26165,5809
05000US27001,5375
05000US27003,30475
05000US27005,9520
05000US27007,8367
05000US27009,6284
05000US27011,1799
05000US27013,11191
05000US27015,5484
05000US27017,7498
05000US27019,11183
05000US27021,10181
05000US27023,3271
05000US27025,7787
05000US27027,9597
05000US27029,3792
05000US27031,1151
05000US27033,3265
05000US27035,11811
05000US27037,37874
05000US27039,4913
05000US27041,7387
05000US27043,4821
05000US27045,7458
05000US27047,7755
05000US27049,9329
05000US27051,2503
05000US27053,101896
05000US27055,5502
05000US27057,6278
05000US27059,6115
05000US27061,9823
05000US27063,3434
05000US27065,4516
05000US27067,9710
