DIVISION,REPORTABLE_DOMAIN,TYPEHUQ,KOWNRENT,YEARMADE,OCCUPYYRANGE,BEDROOMS,TOTROOMS,STOVEN,NUMFRIG,NUMPC,INTERNET,INDIALUP,INDSL,INCABLE,INSATEL,FUELHEAT,EMPLOYHH,SDESCENT,Householder_Race,EDUCATION,NHSLDMEM,HHAGE,WORKPAY,RETIREPY,SSINCOME,INVESTMT,MONEYPY,POVERTY100,FOODASST,DOLLAREL,DOLLARNG,DOLLARLP
2,5,3,1,1949,24,4,7,1,1,1,1,0,0,1,0,1,0,0,1,3,4,50,1,0,0,1,97500,501,0,1213,1323,0
2,3,9,2,1980,14,1,3,1,1,2,-2,-2,-2,-2,-2,3,0,1,1,2,2,85,0,1,0,0,12500,100,1,261,0,0
5,16,2,1,1972,34,3,7,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,3,2,76,0,1,0,1,27500,501,0,1034,0,0
4,12,2,1,1960,44,3,6,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,4,2,80,0,1,0,1,27500,501,0,502,1442,0
8,23,2,1,1984,7,4,10,1,2,1,1,0,1,0,0,1,0,1,1,1,2,48,0,0,0,0,82500,501,0,1525,1452,544
2,3,4,1,1920,7,4,7,1,1,1,1,0,0,1,0,1,0,0,1,6,4,50,1,0,0,1,120000,501,0,1155,2040,0
6,19,1,3,1980,2,2,3,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,2,1,49,1,0,0,0,22500,501,0,1292,572,0
9,26,3,1,1995,2,3,7,2,1,1,1,0,0,1,0,1,0,0,4,7,2,38,1,0,0,0,120000,501,0,837,182,0
7,21,2,1,1986,14,3,6,2,1,1,1,0,1,0,0,3,0,0,1,7,2,48,1,0,0,0,120000,501,0,2298,0,0
4,12,2,1,1970,7,3,6,1,1,1,1,0,0,0,0,3,0,0,1,2,2,27,1,0,0,0,62500,501,0,2208,0,0
4,12,2,1,2006,2,4,8,2,2,1,1,0,0,0,1,1,0,0,1,2,2,59,1,0,0,1,120000,501,0,807,981,0
2,4,2,1,1980,7,3,9,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,4,2,65,1,1,0,0,110000,501,0,724,2477,0
5,16,1,1,2007,2,3,5,1,1,1,1,0,0,0,0,3,0,0,1,4,2,64,1,1,0,0,47500,501,0,1352,0,429
9,26,2,2,1970,2,2,4,1,1,2,-2,-2,-2,-2,-2,1,0,1,1,4,3,41,1,0,0,0,42500,501,0,392,297,0
2,3,2,1,1963,7,3,6,1,1,1,1,0,1,0,0,1,0,0,1,4,2,30,1,0,0,0,110000,501,0,862,869,0
6,19,2,1,1920,44,4,7,1,1,1,1,1,0,0,0,1,0,0,1,7,2,51,1,1,0,1,52500,501,0,866,911,0
6,19,7,2,1972,2,3,5,1,1,1,1,0,0,1,0,3,0,0,1,5,3,22,1,0,0,0,52500,501,0,751,0,0
4,10,6,2,1964,2,2,4,1,1,2,-2,-2,-2,-2,-2,1,0,0,3,2,2,38,1,0,0,0,12500,100,1,512,687,0
9,26,9,2,2006,2,-2,1,1,1,2,-2,-2,-2,-2,-2,3,0,0,4,0,1,79,0,1,1,0,12500,150,1,414,57,0
2,3,9,2,1923,2,-2,1,1,1,1,1,0,0,1,0,4,0,0,1,6,1,37,1,0,0,0,77500,501,0,456,52,961
3,8,2,1,1954,14,3,7,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,3,1,45,1,0,0,0,62500,501,0,2780,699,0
9,27,2,1,1990,7,4,7,1,1,2,-2,-2,-2,-2,-2,1,0,0,7,3,1,66,1,1,0,1,17500,501,0,468,1093,0
5,15,2,1,2001,7,3,7,1,2,1,1,0,1,0,0,1,0,0,1,5,2,75,0,1,0,0,110000,501,0,1697,955,0
2,3,2,2,1970,7,4,8,1,2,1,1,0,0,1,0,1,0,0,1,2,4,47,1,1,1,0,92500,501,0,1915,1717,0
2,3,3,1,1962,24,3,5,1,1,1,1,0,1,0,0,1,0,0,1,5,2,23,1,0,0,0,110000,501,0,1393,1902,0
4,10,2,1,1958,34,5,9,1,1,1,1,0,0,1,0,1,0,0,1,6,2,67,1,1,0,1,72500,501,0,984,1021,0
7,21,4,2,1978,2,1,3,1,1,1,1,0,1,0,0,3,0,1,1,4,2,32,1,0,0,0,47500,501,0,921,0,0
1,1,4,1,1920,14,2,5,1,1,1,0,-2,-2,-2,-2,1,0,0,1,7,2,54,0,0,0,0,17500,150,0,1399,745,0
6,19,2,1,2000,7,3,5,1,2,1,0,-2,-2,-2,-2,3,0,0,1,6,1,52,0,1,0,0,17500,501,0,1630,0,0
2,3,4,2,1950,2,3,6,1,1,1,1,0,1,0,0,1,0,0,1,6,2,28,1,0,0,0,72500,501,0,1176,2748,0
1,2,6,2,1925,2,4,6,1,1,1,1,0,0,1,0,1,0,0,1,5,4,24,1,0,0,0,110000,501,0,1059,1453,0
